"id","year","title","editor","url","tags","cover","isbn","numberOfPages","description","pdf","worldcat","publisher","exhibition"
"22255","2001","Jeune, dure et pure! Une histoire du cinéma d’avant-garde et expérimental en France","Nicole Brenez, Christian Lebrat","https://monoskop.org/log/?p=22255","avant-garde, cinema, experimental film, film, film criticism, film history","https://monoskop.org/images/0/0a/Brenez_Nicole_Lebrat_Christian_dir_Jeune_dure_et_pure_Une_histoire_du_cinema_d_avant-garde_et_experimental_en_France_2001.jpg","","591","L’expérimental dans l’expérimentation scientifique et technique – Le cadre aux surprises – Problèmes figuratifs, devenirs abstraits – ” La sagesse ne viendra jamais “. Dada, Surréalisme – Une terrible invention à faire du vrai – Recherches plastiques dans la fiction, travail des formes narratives – Les années 30 – ” L’angoisse et la douleur et l’inhumanité de la race humaine ” – Les années 50 – Americans in Paris – Le cinéma a déjà commencé ? Lettrisme – L’internationale situationniste – Performances et cinéma des plasticiens – ” Les Kamikazes de l’amour “. L’Underground français (et inassimilés) – Zanzibar – Engagements, combats, débats – Formes expérimentales narratives – Melba – Le cinéma du corps – Recherches scientifiques, propositions visuelles – Poèmes ethnographiques – Portrait, collections / Autoportrait, fictions – Paysages – Figurativité du montage – Recherches optiques, inventions sonores et narrativité – Abstractions chromatiques, domaines sensibles – Dispositifs – Le mouvement des Laboratoires – Constellations – Poèmes, pérennités de l’avant-garde.","https://monoskop.org/images/e/ec/Brenez_Nicole_Lebrat_Christian_dir_Jeune_dure_et_pure_Une_histoire_du_cinema_d_avant-garde_et_experimental_en_France_2001.pdf","http://worldcat.org/oclc/468586943","Cinémathèque française, Paris, and Mazzotta, Milan, 2001",""
"22243","1989","Broken Music: Artists’ Recordworks","Ursula Block, Michael Glasmeier","https://monoskop.org/log/?p=22243","art, media, music, sound art, sound recording","https://monoskop.org/images/8/8f/Block_Ursula_Glasmeier_Michael_Broken_Music_Artists_Recordworks_1989.jpg","","278","_Broken Music_ is a compendium for records created by visual artists.\n\nWorks chosen for the publication revolved around four criteria: (1) record covers created as original work by visual artists; (2) record or sound-producing objects (multiples/editions/sculptures); (3) books and publications that contain a record or recorded-media object; and (4) records or recorded media that have sound by visual artists.\n\nThe book features essays by both editors as well as Theodor W. Adorno, René Block, Jean Dubuffet, Milan Knížák, László Moholy-Nagy, Christiane Seiffert, and Hans Rudolf Zeller. The centerpiece of the publication is a nearly 200-page bibliography of artists’ records.","https://monoskop.org/images/9/91/Block_Ursula_Glasmeier_Michael_Broken_Music_Artists_Recordworks_1989.pdf","http://worldcat.org/oclc/153762545","Berliner Künstlerprogramm des DAAD, and gelbe Musik Berlin, Berlin, 1989",""
"22201","2010","Vertical Thoughts: Morton Feldman and the Visual Arts","Seán Kissane","https://monoskop.org/log/?p=22201","music, painting","https://monoskop.org/images/f/ff/Vertical_Thoughts_Morton_Feldman_and_the_Visual_Arts_2010.jpg","9781907020087","319","If any music can be said to be painterly, it is that of Morton Feldman (1926-1987), one of the most influential composers of the twentieth century. Feldman (1926-1987) was deeply immersed in the milieu of New York Abstract Expressionism, and found analogies in sound to the materiality of Pollock, the gravitas of Rothko and the hesitant, venturing brushstrokes of Guston. Taking as its departure point an exhibition Feldman curated in 1967 titled _Six Painters_, _Vertical Thoughts_ considers the impact that postwar American art had on Feldman’s own compositions. It features works by the titular six painters–Guston, Kline, Mondrian, de Kooning, Pollock and Rothko–and by other artists whom Feldman admired, such as Kitaj, Rauschenberg and Twombly. Also reproduced are works from Feldman’s own collection, including his Middle Eastern and Asian rugs, archival photographs and ephemera, musical scores and record covers of compositions dedicated to artists such as Guston and Rothko, and interviews with and writings by Feldman himself.","https://portal.rcs.ac.uk/mdonohue/wp-content/uploads/sites/261/2017/02/Vertical_thoughts-morton-feldman.pdf","http://worldcat.org/oclc/611960494","Irish Museum of Modern Art, Dublin, 2010","https://imma.ie/whats-on/vertical-thoughts-morton-feldman-and-the-visual-arts/"
"22068","2019","Southern Constellations: The Poetics of the Non-Aligned","Tamara Soban","https://monoskop.org/log/?p=22068","colonialism, non-aligned movement, politics, yugoslavia","https://monoskop.org/images/2/22/Southern_Constellations_The_Poetics_of_the_Non-Aligned_2019.jpg","9789612061371","188","This catalogue emphasises the ideas, ideals and principles of the movement, particularly in close connection with its cultural policies and place them in a contemporary context with the question: Could there be a non-aligned contemporaneity? And if so, what would it be like? However, the topics covered in the exhibition are not to be considered some kind of exoticism of the past, nor do they harbor nostalgia for the movement itself. Instead, the focus is on the way the “southern constellations” envisioned forms of politics that took as their starting point the life of peoples and societies that had been forcibly relegated to the margins of the global economic, political and cultural system. Struggles against poverty, inequality, and colonialism in the world system coupled with transnational solidarity which took many concrete forms could be included in a reconsideration of the history and legacies of the NAM today.","http://www.newmappingsofeurope.si/books/Nesvrstani_katalog-ENG_web.pdf","","Moderna galerija, Ljubljana, 2019","http://www.mg-lj.si/en/exhibitions/2439/"
"22066","2019","The Nineties: A Glossary of Migrations","Neda Knežević","https://monoskop.org/log/?p=22066","1990s, activism, art, civil society, migration, politics, serbia, trauma, war, yugoslavia","https://monoskop.org/images/5/51/The_Nineties_A_Glossary_of_Migrations_2019.jpg","9788684811655","315","The catalogue published to accompany an exhibition on the mass migrations of the population to and from Serbia over the course of the 1990s. The primary concern of the exhibition is to map the different forms of engagement, from the 1990s to the present, which have, in the field of art, activism and civil society, addressed social, cultural, political and legal issues created in these extremely complex and traumatic migration processes.","http://www.newmappingsofeurope.si/books/Glossary-of-Migrations-Muzej-Jugoslavije.pdf","","Museum of Yugoslavia, Belgrade, 2019","https://www.muzej-jugoslavije.org/en/exhibition/devedesete-recnik-migracija/"
"22021","2019","Defiant Muses: Delphine Seyrig and the Feminist Video Collectives in France, 1970s-1980s","","https://monoskop.org/log/?p=22021","1970s, 1980s, art history, cinema, feminism, film, france, video, video activism, video art","https://monoskop.org/images/2/2c/Defiant_Muses_Delphine_Seyrig_and_the_Feminist_Video_Collectives_in_France_1970s-1980s_2019.jpg","9788480266000","231","This publication explores the intersection between the histories of cinema, video and feminism in France. Focusing on the emergence of video collectives in the 1970s, the exhibition proposes to reconsider the history of the feminist movement in France through a set of media practices and looks at a network of creative alliances that emerged in a time of political turmoil.","https://www.museoreinasofia.es/sites/default/files/publicaciones/catalogosPDF/musas_ingles-catalogo.pdf","http://worldcat.org/oclc/1124736347","Museo Nacional Centro de Arte Reina Sofía (MACBA), Barcelona, 2019","https://www.museoreinasofia.es/en/exhibitions/defiant-muses"
"22005","2012","Nato Thompson (ed.): Living as Form: Socially Engaged Art from 1991-2011","","https://monoskop.org/log/?p=22005","activism, art, participation, performance, public art, public sphere, social movements","https://monoskop.org/images/5/55/Thompson_Nato_ed_Living_as_Form_Socially_Engaged_Art_From_1911-2011_2012.jpg","9780262017343","259","Over the past twenty years, an abundance of art forms have emerged that use aesthetics to affect social dynamics. These works are often produced by collectives or come out of a community context; they emphasize participation, dialogue, and action, and appear in situations ranging from theater to activism to urban planning to visual art to health care. Engaged with the texture of living, these art works often blur the line between art and life. This book offers the first global portrait of a complex and exciting mode of cultural production—one that has virtually redefined contemporary art practice.\n\n_Living as Form_ grew out of a major exhibition at Creative Time in New York City. Like the exhibition, the book is a landmark survey of more than 100 projects selected by a thirty-person curatorial advisory team; each project is documented by a selection of color images. The artists include the Danish collective Superflex, who empower communities to challenge corporate interest; Turner Prize nominee Jeremy Deller, creator of socially and politically charged performance works; Women on Waves, who provide abortion services and information to women in regions where the procedure is illegal; and Santiágo Cirugeda, an architect who builds temporary structures to solve housing problems.\n\n_Living as Form_ contains commissioned essays from noted critics and theorists who look at this phenomenon from a global perspective and broaden the range of what constitutes this form.","https://monoskop.org/images/1/16/Thompson_Nato_ed_Living_as_Form_Socially_Engaged_Art_From_1911-2011_2012.pdf","http://worldcat.org/oclc/758387852","Creative Time, New York, and MIT Press, 2012",""
"21904","2019","Cyber Folk: Digbee’s Electronic Chronicle","","https://monoskop.org/log/?p=21904","diy, electronic music, music, musical instruments","https://monoskop.org/images/7/76/Cyber_Folk_Digbees_Electronic_Chronicle_2019.jpg","","143","","https://monoskop.org/images/d/d4/Cyber_Folk_Digbees_Electronic_Chronicle_2019.pdf","","Harpy Gallery & Selfish 60 Studio, Rutherford, NJ, 2019",""
"21902","2015","Masha Tupitsyn: Love Sounds","","https://monoskop.org/log/?p=21902","cinema, film, film sound, love","https://monoskop.org/images/0/0a/Tupitsyn_Masha_Love_Sounds_2015.jpg","9780978556440","62","Cinema remains the last medium for speaking and performing love culturally. While much emphasis has been placed on the visual iconography of love, with the exception of music very little attention has been given to love as an aural phenomenon since the tradition and practice of amour courtois. Partly inspired by Christian Marclay’s ontology of time in cinema, _The Clock_, and René Magritte’s word paintings, which textualized the visual tropes of painting with “written” images, _Love Sounds_, a 24-hour sound poem and montage, dematerializes cinema’s visual legacy and reconstitutes it as an all-tonal history of critical listening.\n\n_Love Sounds_, a 24 hour audio history and essay of love in cinema, concludes Tupitsyn’s immaterial trilogy. The film is accompanied by a catalogue published by Penny-Ante, featuring written works by Masha Tupitsyn and contributors McKenzie Wark, Berit Fischer, Isiah Medina, C. Spencer Yeh, and Yaniya Lee.","https://monoskop.org/images/b/bd/Tupitsyn_Masha_Love_Sounds_2015.pdf","","Penny-Ante Editions, Los Angeles, 2015",""
"21898","2019","Sur moderno: recorridos de la abstracción","Inés Katzenstein and María Amalia García with Karen Grimson and Michaëla de Lazace","https://monoskop.org/log/?p=21898","abstract art, art history, concrete art, latin america, modern art, south america","https://monoskop.org/images/3/30/Sur_moderno_recorridos_de_la_abstraccion_2019.jpg","9781633450981","224","_Sur moderno: Journeys of Abstraction_ explores the abstract and Concrete art movements that flourished in South America from the mid-1940s to the late 1970s. Published in conjunction with a major exhibition, this richly illustrated volume features work by artists from across the region, including Lidy Prati, , Rhod Rothfuss, , , Jesús Rafael Soto, and Alejandro Otero. _Sur moderno_ highlights a selection of works gifted to MoMA by Patricia Phelps de Cisneros between 1997 and 2016—a donation that has transformed the Museum’s holdings of Latin American art, enabling a more comprehensive representation of the region’s integral role in the development of modern art.","https://hostb.org/EER/Sur%20moderno%20recorridos%20de%20la%20abstraccion%202019.pdf","http://worldcat.org/oclc/1126667097","Museum of Modern Art, New York, Oct 2019","https://www.moma.org/calendar/exhibitions/5061"
"21784","2019","3X3X6: Shu Lea Cheang","","https://monoskop.org/log/?p=21784","art, gender, queer, sexuality, surveillance","https://monoskop.org/images/a/ab/3x3x6_Shu_Lea_Cheang_2019.jpg","9789860588798","211","_3x3x6_ is the title of Shu Lea Cheang’s project representing Taiwan at the 58th Venice Biennale and hosted at the Palazzo delle Prigioni–a Venetian prison from the sixteenth century in operation until 1922. 3x3x6 is also the standardised architecture of industrial imprisonment for ‘sexual criminals’ and ‘terrorists’ in the West: 3×3 meters, monitored by 6 cameras 24 hours a day. Shu Lea Cheang investigates historical reports based on ten cases of subjects incarcerated because of gender or sexual dissent and uses trans-punk fiction, queer, and anti-colonial imaginations to hack the history of sexuality as well as contemporary technologies of surveillance.","https://3x3x6.com/pdfs/exhibition_catalogue.pdf","http://worldcat.org/oclc/1124804213","Taipei Fine Arts Museum, Taipei, 2019","https://3x3x6.com"
"21761","2014","Really Useful Knowledge","","https://monoskop.org/log/?p=21761","art, conceptual art, critical pedagogy, education, knowledge, pedagogy, politics, sociology of art, theory, useful art","https://monoskop.org/images/1/1a/Really_Useful_Knowledge_2014.jpg","9788480264990","","This catalogue investigates the notion of “really useful knowledge” and its origins. In the 1820s and 1830s, working class organisations in the UK introduced this phrase to describe a body of knowledge that encompassed various “unpractical” disciplines such as politics, economics and philosophy, as opposed to the “useful knowledge” proclaimed by business owners who had previously begun to invest more heavily in their companies’ progress through financing workers’ education in “applicable” disciplines like engineering, physics, chemistry and mathematics. The publication presents texts and conversations that analyse these themes, including philosophy, art, politics and technology.","https://monoskop.org/images/9/94/Really_Useful_Knowledge_2014.pdf","http://worldcat.org/oclc/900616570","Museo Nacional Centro de Arte Reina Sofía (MACBA), Barcelona, 2014","https://www.museoreinasofia.es/en/exhibitions/really-useful-knowledge"
"21757","2007","Pathways to Unknown Worlds: Sun Ra, El Saturn and Chicago’s Afro-Futurist Underground, 1954-68","Anthony Elms","https://monoskop.org/log/?p=21757","afrofuturism, chicago, jazz, music, music history","https://monoskop.org/images/b/ba/Pathways_to_Unknown_Worlds_Sun_Ra_El_Saturn_and_Chicagos_Afro-Futurist_Underground_1954-68_2007.jpg","","128","Philosopher, Afro-futurist, and jazz legend Sun Ra (1914-1993) constructed much of his complicated public persona during his sojourn in Chicago in the mid-1950s. Working with a still-shadowy underground fraternal organization, Ra amassed a library of books on the occult, Egyptology, race studies, Theosophy, and religion—all in service of drawing elliptical connections between these disparate bodies of knowledge. This work became the foundation of the personal mythology Ra employed in the 1960s when he began fronting his Myth-Science Arkestra and started drawing attention from more mainstream jazz fans.\n\n_Pathways to Unknown Worlds_ presents a kaleidoscopic range of materials from those years, including original record cover designs and production materials, paper ephemera, and photographs. These materials—most previously unseen—dramatically flesh out the story of Sun Ra’s mystical journey of discovery and his lofty goals for the dissemination of his new knowledge; they are certain to fascinate and delight Ra’s legion of fans.","https://monoskop.org/images/1/17/Pathways_to_Unknown_Worlds_Sun_Ra_El_Saturn_and_Chicagos_Afro-Futurist_Underground_1954-68_2007.pdf","http://worldcat.org/oclc/263593947","WhiteWalls, Chicago, 2007","https://icaphila.org/exhibitions/pathways-to-unknown-worlds-sun-ra-el-saturn-chicago-s-afro-futurist-underground-1954-1968/"
"21754","2005","Guy Schranen: Vinyl: Records and Covers by Artists: A Survey","","https://monoskop.org/log/?p=21754","art, art history, sound recording","https://monoskop.org/images/d/d4/Schraenen_Guy_Vinyl_Records_and_Covers_by_Artists_A_Survey_2005.jpg","","268","_Vinyl_ shows a selection from the collection of held by the Centre for Artists’ Publications in the Neues Museum Weserburg in Bremen. The main of this collection comprises vinyl records and covers by artists, musicians and poets in LP, single and other formats, alongside other sound media (tapes and CDs). The catalogue shows artists (such as Hanne Darboven, Jean Dubuffet, Dieter Roth, Joseph Beuys, Laurie Anderson, Yves Klein, Roman Opalka and Hermann Nitsch) and artistic movements of the second half of the twentieth century through this complex medium, with its dual visual and audible components.","https://monoskop.org/images/7/75/Schraenen_Guy_Vinyl_Records_and_Covers_by_Artists_A_Survey_2005.pdf","http://worldcat.org/oclc/1111037957","Research Centre for Artists’ Publications/Neues Museum Weserburg, Bremen, and Museu d’Art Contemporani (MACBA), Barcelona, 2005",""
